Qty,Reference(s),Value,LCSC part number,Part number
2,"C1, C6",100p,C343033,C1608NP01H101JT000N
5,"C2, C7, C11, C14, C17",10u,C962136,CL10A106KO8NQNC
2,"C3, C8",2.2u,C128507,ECWFD2W225J
2,"C4, C9",330p,C343002,C1608NP01H331JT000N
2,"C5, C10",2200u,C278533,EEUFR1E222S
1,C12,47u,C1669286,UES1C470MPM
2,"C13, C15",470u,C401707,EEE-FK1C471AP
1,C16,10n,C1589,CL10B103KB8NNNC
1,C18,100n,C2926846,PHE820ED6100MR06L2
1,D1,12V,C550177,BZT52-B12X
3,"D2, D3, D7",D,C81598,1N4148W
1,D4,15V,C135138,SMCJ15A-13-F
1,D5,LED,C2927624,204-10SUGC/S400-A5
1,D6,0.55Vf,C134460,B520C-13-F
1,HS1,Heatsink,N/A,573300D00000G
1,J1,L_In,C158012,B2B-XH-A
1,J2,R_In,C158012,B2B-XH-A
1,J3,HPOut,C368502,NMJ6HCD2
1,J4,AC_In,C160316,B3P-VH(LF)(SN)
1,J5,Switch,C158012,B2B-XH-A
1,K1,C93402,C128021,C93402
1,PS1,RAC20-15SK,N/A,RAC20-15SK
3,"Q1, Q4, Q7",BC850C,C549507,BC850C
4,"Q2, Q5, Q9, Q10",BC860C,C549546,BC860C
2,"Q3, Q6",BCP56-16,C92221,BCP56-16
1,Q8,AO3400A,C20917,AO3400A
3,"R1, R19, R44",2.2k,C706068,RT0603DRE072K2L
4,"R2, R20, R38, R39",390k,C862701,RT0603DRD07390KL
2,"R3, R21",120k,C706020,RT0603DRE07120KL
2,"R4, R22",39k,C705983,RT0603DRD0739RL
2,"R5, R23",820,C723589,RT0603DRD07820RL
2,"R6, R24",1.2k,C723656,RT0603DRD071K2L
16,"R7, R8, R9, R10, R11, R12, R13, R14, R25, R26, R27, R28, R29, R30, R31, R32",133,C872564,RT1206DRD07133RL
8,"R15, R16, R17, R18, R33, R34, R35, R36",93.1,C706437,RT1206FRE0793R1L
3,"R37, R40, R43",4.7k,C513565,RT0603BRD074K7L
2,"R41, R42",1k,C706049,RT0603DRE071KL
1,R45,270,C705836,RT0603BRE07270RL
1,R46,33,C705980,RT0603DRD0733RL
1,R47,180k,C136958,RT0603BRE07180KL
1,R48,1.8k,C705745,RT0603BRD071K8L
1,R49,22,C706057,RT0603DRE0722R1L
1,R50,1M,C862961,RT0603DRE071ML
1,RV1,10k,C470507,
2,"RV2, RV3",5k,C780226,3266W-1-503LF
1,RV4,500k,C125021,3362P-1-504
1,RV5,500,C118916,3362P-1-501
1,U1,LT1965,C665799,LT1965EQ#PBF
,,,,
Additional,,,,
1,,IEC socket,N/A,DD11.0111.1111
1,,Fuse holder,N/A,4301.1405
1,,Power switch,C1788492,100SP1T1B1M1QEH
1,,JST VH plug,C157899,VHR-3N
3,,JST VH pins,C160349,SVH-21T-P1.1
3,,JST XH plug,C144401,XHP-2
6,,JST XH pins,C385122,SXH-001T-P0.6N
1,,RCA black,N/A,NYS367-0
1,,RCA red,N/A,NYS367-2
1,,30mm knob,N/A,N/A
1,,200mA slow blow,C178874,0218.200MXP
4,,M3 x 6,,Normal screw
5,,M3 x 6,,Countersunk screw
2,,19 x 14mm,C4655,Heatsink
2,,14 x 14mm,C286220,Heatsink
